Sales
product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_type_2
P0127,S0080,1/2/17,0,0,3,2.6,PR14,PR03
P0128,S0082,1/2/17,1,2.41,4,2.6,PR14,PR03
P0129,S0083,1/2/17,0,0,3,2.6,PR14,PR03
P0130,S0085,1/2/17,1,2.41,50,2.6,PR14,PR03
P0131,S0086,1/2/17,0,0,12,2.6,PR14,PR03
P0132,S0087,1/2/17,0,0,2,2.6,PR14,PR03
P0133,S0088,1/2/17,0,0,23,2.6,PR14,PR03
P0134,S0089,1/2/17,0,0,10,2.6,PR14,PR03
P0135,S0091,1/2/17,0,0,16,2.6,PR14,PR03
P0136,S0093,1/2/17,0,0,8,2.6,PR14,PR03
P0137,S0094,1/2/17,0,0,6,2.6,PR14,PR03
P0138,S0096,1/2/17,0,0,12,2.6,PR14,PR03
P0139,S0097,1/2/17,0,0,23,2.6,PR14,PR03
P0140,S0099,1/2/17,0,0,11,2.6,PR14,PR03
P0141,S0102,1/2/17,0,0,13,2.6,PR14,PR03
P0142,S0104,1/2/17,0,0,11,2.6,PR14,PR03
P0143,S0107,1/2/17,0,0,3,2.6,PR14,PR03
P0144,S0108,1/2/17,0,0,5,2.6,PR14,PR03
P0145,S0110,1/2/17,0,0,12,2.6,PR14,PR03
P0146,S0113,1/2/17,0,0,25,2.6,PR14,PR03
P0147,S0115,1/2/17,0,0,33,2.6,PR14,PR03
P0148,S0116,1/2/17,0,0,9,2.6,PR14,PR03
P0149,S0117,1/2/17,0,0,7,2.6,PR14,PR03
P0150,S0119,1/2/17,0,0,13,2.6,PR14,PR03
P0151,S0120,1/2/17,0,0,4,2.6,PR14,PR03
P0152,S0122,1/2/17,0,0,5,2.6,PR14,PR03
P0153,S0124,1/2/17,0,0,6,2.6,PR14,PR03
P0154,S0125,1/2/17,0,0,11,2.6,PR14,PR03
P0155,S0126,1/2/17,0,0,33,2.6,PR14,PR03
P0156,S0130,1/2/17,1,2.41,10,2.6,PR14,PR03
P0157,S0131,1/2/17,0,0,6,2.6,PR14,PR03
P0158,S0132,1/2/17,0,0,10,2.6,PR14,PR03
P0159,S0135,1/2/17,0,0,10,2.6,PR14,PR03
P0160,S0138,1/2/17,0,0,16,2.6,PR14,PR03
P0161,S0140,1/2/17,0,0,8,2.6,PR14,PR03
P0162,S0141,1/2/17,0,0,9,2.6,PR14,PR03
P0163,S0142,1/2/17,0,0,12,2.6,PR14,PR03
P0164,S0143,1/2/17,0,0,8,2.6,PR14,PR03
P0165,S0032,1/2/17,1,1.85,19,2,PR14,PR03
P0166,S0001,1/2/17,0,0,13,1.49,PR14,PR03
P0167,S0002,1/2/17,0,0,12,1.49,PR14,PR03
P0168,S0004,1/2/17,0,0,26,1.49,PR14,PR03
P0169,S0008,1/2/17,1,1.38,17,1.49,PR14,PR03
P0170,S0010,1/2/17,0,0,21,1.49,PR14,PR03
P0171,S0012,1/2/17,1,1.38,10,1.49,PR14,PR03
P0172,S0013,1/2/17,0,0,127,1.49,PR14,PR03
P0173,S0015,1/2/17,2,2.76,9,1.49,PR14,PR03
P0174,S0018,1/2/17,0,0,23,1.49,PR14,PR03
P0175,S0020,1/2/17,3,4.14,39,1.49,PR14,PR03
P0176,S0022,1/2/17,0,0,20,1.49,PR14,PR03
P0177,S0023,1/2/17,0,0,27,1.49,PR14,PR03
P0178,S0024,1/2/17,0,0,59,1.49,PR14,PR03
P0179,S0025,1/2/17,1,1.38,7,1.49,PR14,PR03
P0180,S0026,1/2/17,0,0,59,1.49,PR14,PR03
P0181,S0027,1/2/17,1,1.38,49,1.49,PR14,PR03
P0182,S0028,1/2/17,5,4.63,0,,PR14,PR03
P0183,S0031,1/2/17,0,0,40,1.49,PR14,PR03
P0184,S0035,1/2/17,1,1.38,21,1.49,PR14,PR03
P0185,S0043,1/2/17,1,1.38,29,1.49,PR14,PR03
P0186,S0045,1/2/17,0,0,25,1.49,PR14,PR03
P0187,S0048,1/2/17,9,8.33,0,,PR14,PR03
P0188,S0049,1/2/17,0,0,44,1.49,PR14,PR03
P0189,S0050,1/2/17,0,0,41,1.49,PR14,PR03
P0190,S0051,1/2/17,1,1.38,17,1.49,PR14,PR03
P0191,S0052,1/2/17,1,1.38,13,1.49,PR14,PR03
P0192,S0055,1/2/17,0,0,46,1.49,PR14,PR03
P0193,S0056,1/2/17,1,1.38,23,1.49,PR14,PR03
P0194,S0058,1/2/17,2,2.76,49,1.49,PR14,PR03
P0195,S0060,1/2/17,0,0,24,1.49,PR14,PR03
P0196,S0062,1/2/17,2,2.76,47,1.49,PR14,PR03
P0197,S0063,1/2/17,0,0,2,1.49,PR14,PR03
P0198,S0066,1/2/17,1,1.38,16,1.49,PR14,PR03
P0199,S0067,1/2/17,0,0,9,1.49,PR14,PR03
P0200,S0070,1/2/17,0,0,49,1.49,PR14,PR03
P0201,S0072,1/2/17,5,4.63,0,,PR14,PR03
P0202,S0073,1/2/17,0,0,28,1.49,PR14,PR03
P0203,S0078,1/2/17,1,1.38,12,1.49,PR14,PR03
P0204,S0081,1/2/17,10,9.26,0,,PR14,PR03
P0205,S0082,1/2/17,1,1.38,25,1.49,PR14,PR03
P0206,S0083,1/2/17,0,0,5,1.49,PR14,PR03
P0207,S0084,1/2/17,1,1.38,30,1.49,PR14,PR03
P0208,S0085,1/2/17,1,1.38,91,1.49,PR14,PR03
P0209,S0087,1/2/17,2,2.76,5,1.49,PR14,PR03
P0210,S0088,1/2/17,0,0,38,1.49,PR14,PR03
P0211,S0091,1/2/17,0,0,1,1.49,PR14,PR03
P0212,S0093,1/2/17,1,1.38,16,1.49,PR14,PR03
P0213,S0094,1/2/17,0,0,91,1.49,PR14,PR03
P0214,S0096,1/2/17,0,0,22,1.49,PR14,PR03
